HGNC ID	Approved Symbol	Approved Name	RefSeq IDs	Entrez Gene ID(supplied by NCBI)	RefSeq(supplied by NCBI)
HGNC:5	A1BG	alpha-1-B glycoprotein	NM_130786	1	NM_130786
HGNC:37133	A1BG-AS1	A1BG antisense RNA 1	NR_015380	503538	NR_015380
HGNC:24086	A1CF	APOBEC1 complementation factor	NM_014576	29974	NM_001198818
HGNC:6	A1S9T~withdrawn	symbol withdrawn, see UBA1			
HGNC:7	A2M	alpha-2-macroglobulin	NM_000014	2	NM_000014
HGNC:27057	A2M-AS1	A2M antisense RNA 1	NR_026971	144571	NR_026971
HGNC:23336	A2ML1	alpha-2-macroglobulin like 1	NM_144670	144568	NM_001282424
HGNC:41022	A2ML1-AS1	A2ML1 antisense RNA 1		100874108	
HGNC:41523	A2ML1-AS2	A2ML1 antisense RNA 2		106478979	
HGNC:8	A2MP1	alpha-2-macroglobulin pseudogene 1	NG_001067	3	NR_040112
HGNC:9	A2MR~withdrawn	symbol withdrawn, see LRP1			
HGNC:10	A2MRAP~withdrawn	symbol withdrawn, see LRPAP1			
HGNC:30005	A3GALT2	alpha 1,3-galactosyltransferase 2	NM_001080438	127550	NM_001080438
HGNC:18149	A4GALT	alpha 1,4-galactosyltransferase (P blood group)	NM_017436	53947	NM_001318038
HGNC:17968	A4GNT	alpha-1,4-N-acetylglucosaminyltransferase	NM_016161	51146	NM_016161
HGNC:1	A12M1~withdrawn	entry withdrawn			
HGNC:2	A12M2~withdrawn	entry withdrawn			
HGNC:3	A12M3~withdrawn	entry withdrawn			
HGNC:4	A12M4~withdrawn	entry withdrawn			
HGNC:11	AA~withdrawn	symbol withdrawn, see TEAD1			
HGNC:13666	AAAS	aladin WD repeat nucleoporin		8086	NM_001173466
HGNC:12	AABT~withdrawn	entry withdrawn			
HGNC:13	AAC1~withdrawn	symbol withdrawn, see NAT1			
HGNC:14	AAC2~withdrawn	symbol withdrawn, see NAT2			
HGNC:21298	AACS	acetoacetyl-CoA synthetase	NM_023928	65985	NM_001319839
HGNC:18226	AACSP1	acetoacetyl-CoA synthetase pseudogene 1	NR_024035	729522	NR_024035
HGNC:13792	AACT~withdrawn	symbol withdrawn, see SERPINA3			
HGNC:17	AADAC	arylacetamide deacetylase	NM_001086	13	NM_001086
HGNC:24427	AADACL2	arylacetamide deacetylase like 2	NM_207365	344752	NM_207365
HGNC:50301	AADACL2-AS1	AADACL2 antisense RNA 1		101928142	NR_110202
HGNC:32037	AADACL3	arylacetamide deacetylase like 3	NM_001103170	126767	NM_001103170
HGNC:32038	AADACL4	arylacetamide deacetylase like 4	NM_001013630	343066	NM_001013630
HGNC:50305	AADACP1	arylacetamide deacetylase pseudogene 1		201651	NR_026915
HGNC:17929	AADAT	aminoadipate aminotransferase	NM_016228	51166	NM_001286682
HGNC:25662	AAGAB	alpha and gamma adaptin binding protein	NM_024666	79719	NM_001271885
HGNC:19679	AAK1	AP2 associated kinase 1	NM_014911	22848	NM_014911
HGNC:30205	AAMDC	adipogenesis associated Mth938 domain containing	NM_024684	28971	NM_001316957
HGNC:18	AAMP	angio associated migratory cell protein	NM_001087	14	NM_001087
HGNC:19	AANAT	aralkylamine N-acetyltransferase	NM_001088	15	NM_001088
HGNC:15886	AAR2	AAR2 splicing factor homolog	NM_015511	25980	NM_001271874
HGNC:33842	AARD	alanine and arginine rich domain containing protein	NM_001025357	441376	NM_001025357
HGNC:20	AARS	alanyl-tRNA synthetase	NM_001605	16	NM_001605
HGNC:21022	AARS2	alanyl-tRNA synthetase 2, mitochondrial	NM_020745	57505	NM_020745
HGNC:28417	AARSD1	alanyl-tRNA synthetase domain containing 1	NM_001261434	80755	NM_001261434
HGNC:49894	AARSP1	alanyl-tRNA synthetase pseudogene 1		106480683	NG_043271
HGNC:23993	AASDH	aminoadipate-semialdehyde dehydrogenase	NM_181806	132949	NM_001286668
HGNC:14235	AASDHPPT	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	NM_015423	60496	NM_015423
HGNC:17366	AASS	aminoadipate-semialdehyde synthase	NM_005763	10157	NM_005763
HGNC:51526	AATBC	apoptosis associated transcript in bladder cancer	NR_026961	284837	NR_026961
HGNC:19235	AATF	apoptosis antagonizing transcription factor	NM_012138	26574	NM_012138
HGNC:21	AATK	apoptosis associated tyrosine kinase	NM_004920	9625	NM_001080395
HGNC:22	AAVS1	adeno-associated virus integration site 1		17	
HGNC:49667	ABALON	apoptotic BCL2L1-antisense long non-coding RNA	NR_131907	103021294	NR_131907
HGNC:23	ABAT	4-aminobutyrate aminotransferase	NM_020686	18	NM_000663
HGNC:24	ABC1~withdrawn	symbol withdrawn, see ABCA1			
HGNC:25	ABC2~withdrawn	symbol withdrawn, see ABCA2			
HGNC:26	ABC3~withdrawn	symbol withdrawn, see ABCA3			
HGNC:28	ABC7~withdrawn	symbol withdrawn, see ABCB7			
HGNC:27	ABC50~withdrawn	symbol withdrawn, see ABCF1			
HGNC:29	ABCA1	ATP binding cassette subfamily A member 1	NM_005502	19	NM_005502
HGNC:32	ABCA2	ATP binding cassette subfamily A member 2	NM_001606	20	NM_001606
HGNC:33	ABCA3	ATP binding cassette subfamily A member 3	NM_001089	21	NM_001089
HGNC:34	ABCA4	ATP binding cassette subfamily A member 4	NM_000350	24	NM_000350
HGNC:35	ABCA5	ATP binding cassette subfamily A member 5	NM_018672	23461	NM_018672
HGNC:36	ABCA6	ATP binding cassette subfamily A member 6	NM_080284	23460	NM_080284
HGNC:37	ABCA7	ATP binding cassette subfamily A member 7	NM_019112	10347	NM_019112
HGNC:38	ABCA8	ATP binding cassette subfamily A member 8	NM_007168	10351	NM_001288985
HGNC:39	ABCA9	ATP binding cassette subfamily A member 9	NM_172386	10350	NM_080283
HGNC:39983	ABCA9-AS1	ABCA9 antisense RNA 1		104355297	NR_126414
HGNC:30	ABCA10	ATP binding cassette subfamily A member 10	NM_080282	10349	NM_080282
HGNC:31	ABCA11P	ATP binding cassette subfamily A member 11, pseudogene	NR_002451.2	79963	NR_002451
HGNC:14637	ABCA12	ATP binding cassette subfamily A member 12	NM_173076	26154	NM_015657
HGNC:14638	ABCA13	ATP binding cassette subfamily A member 13	NM_152701	154664	NM_152701
HGNC:32972	ABCA17P	ATP binding cassette subfamily A member 17, pseudogene	NR_003574	650655	NR_003574
HGNC:40	ABCB1	ATP binding cassette subfamily B member 1	NM_000927	5243	NM_000927
HGNC:11563	ABCB2~withdrawn	symbol withdrawn, see TAP1			
HGNC:11564	ABCB3~withdrawn	symbol withdrawn, see TAP2			
HGNC:45	ABCB4	ATP binding cassette subfamily B member 4	NM_000443	5244	NM_000443
HGNC:46	ABCB5	ATP binding cassette subfamily B member 5	NM_178559	340273	NM_001163941
HGNC:47	ABCB6	ATP binding cassette subfamily B member 6 (Langereis blood group)	NM_005689	10058	NM_001349828
HGNC:48	ABCB7	ATP binding cassette subfamily B member 7	NM_004299	22	NM_001271696
HGNC:49	ABCB8	ATP binding cassette subfamily B member 8	NM_007188	11194	NM_001282291
HGNC:50	ABCB9	ATP binding cassette subfamily B member 9	NM_019624	23457	NM_001243013
HGNC:41	ABCB10	ATP binding cassette subfamily B member 10	NM_012089	23456	NM_012089
HGNC:14114	ABCB10P1	ABCB10 pseudogene 1	NG_005041	56476	NG_005041
HGNC:31128	ABCB10P2~withdrawn	symbol withdrawn, see ABCB10P1			
HGNC:31129	ABCB10P3	ABCB10 pseudogene 3	NG_022122	728248	NG_022122
HGNC:31130	ABCB10P4	ABCB10 pseudogene 4	NG_022102	100132289	NG_022102
HGNC:42	ABCB11	ATP binding cassette subfamily B member 11	NM_003742	8647	NM_003742
HGNC:51	ABCC1	ATP binding cassette subfamily C member 1	NM_004996	4363	NM_004996
HGNC:53	ABCC2	ATP binding cassette subfamily C member 2	NM_000392	1244	NM_000392
HGNC:54	ABCC3	ATP binding cassette subfamily C member 3	NM_020038	8714	NM_001144070
HGNC:55	ABCC4	ATP binding cassette subfamily C member 4	NM_005845	10257	NM_001105515
HGNC:56	ABCC5	ATP binding cassette subfamily C member 5	NM_005688	10057	NM_001023587
HGNC:40055	ABCC5-AS1	ABCC5 antisense RNA 1		100873982	NR_046570
HGNC:57	ABCC6	ATP binding cassette subfamily C member 6		368	NM_001079528
HGNC:33352	ABCC6P1	ATP binding cassette subfamily C member 6 pseudogene 1	NR_003569	653190	NR_003569
HGNC:33353	ABCC6P2	ATP binding cassette subfamily C member 6 pseudogene 2	NR_023387	730013	NR_023387
HGNC:58	ABCC7~withdrawn	symbol withdrawn, see CFTR			
HGNC:59	ABCC8	ATP binding cassette subfamily C member 8	NM_000352	6833	NM_000352
HGNC:60	ABCC9	ATP binding cassette subfamily C member 9	NM_005691	10060	NM_005691
HGNC:52	ABCC10	ATP binding cassette subfamily C member 10	NM_033450	89845	NM_001198934
HGNC:14639	ABCC11	ATP binding cassette subfamily C member 11	NM_032583	85320	NM_032583
HGNC:14640	ABCC12	ATP binding cassette subfamily C member 12	NM_033226	94160	NM_033226
HGNC:16022	ABCC13	ATP binding cassette subfamily C member 13 (pseudogene)		150000	NR_003087
HGNC:61	ABCD1	ATP binding cassette subfamily D member 1	NM_000033	215	NM_000033
HGNC:62	ABCD1P1	ATP binding cassette subfamily D member 1 pseudogene 1		23785	NG_001246
HGNC:63	ABCD1P2	ATP binding cassette subfamily D member 1 pseudogene 2		26983	NG_001270
